https://www.sports.ru/tribuna/blogs/3985678/; Искусство на льду; Блог о фигурном катании; 6 января 2011; Закрытый; 51; Фигурное катание; чемпионат четырех континентов| чемпионат мира среди юниоров| чемпионат мира| чемпионат России| чемпионат Европы; https://www.sports.ru/profile/75248398/
https://www.sports.ru/tribuna/blogs/3fsrus/; Фигурное катание; Любители ФК; 17 мая 2019; Закрытый; 1; Фигурное катание; Алина Загитова; https://www.sports.ru/profile/1057810626/
https://www.sports.ru/tribuna/blogs/3lz3t3lo/; Фигурка; Фигурное катание; 6 марта 2019; Открытый; 7; Фигурное катание; женское катание; https://www.sports.ru/profile/1072008504/
https://www.sports.ru/tribuna/blogs/48cupsoftea/; 48 чашек чая; Фигурное катание; 12 мая 2015; Закрытый; 92; Фигурное катание; Елена Ильиных| Руслан Жиганшин| Елизавета Туктамышева| Юлия Липницкая| Татьяна Волосожар| танцы на льду| Максим Траньков| Сергей Воронов| Дмитрий Алиев; https://www.sports.ru/profile/1029501682/
https://www.sports.ru/tribuna/blogs/4toproishodit/; Петиция. Уберите Фролова.; Все поставившие + считаются проголосовавшими; 17 мая 2014; Открытый c премодерацией; 3; Фигурное катание; финал Гран-при; https://www.sports.ru/profile/1020251130/
https://www.sports.ru/tribuna/blogs/achris/; Фигурное катание - навсегда; для истинных  поклонников фигурного катания; 12 августа 2009; Открытый c премодерацией; 58; Фигурное катание; Андрей Грязев| Елена Чайковская| Алексей Ягудин| Ирина Роднина| Татьяна Тарасова| чемпионат мира| Наталья Линичук| Стефан Ламбьель| Мария Бутырская| Екатерина Гордеева; https://www.sports.ru/profile/3563300/
https://www.sports.ru/tribuna/blogs/advenrusfootball/; Advent Russia; Интересные рассуждения о реалиях спорта РФ и не только.; 6 сентября 2018; Открытый c премодерацией; 6; Фигурное катание; сборная России| Евгения Медведева| Сборная России по футболу| Алексей Мишин| Алина Загитова| Елизавета Туктамышева| Михаил Коляда| Этери Тутберидзе| Александр Самарин| Софья Самодурова; https://www.sports.ru/profile/1066670695/
https://www.sports.ru/tribuna/blogs/agitopro/; Народ против; Диванный специалист; 1 декабря 2018; Открытый; 4; Фигурное катание; фигуристы в соцсетях| Алина Загитова; https://www.sports.ru/profile/1060658025/
https://www.sports.ru/tribuna/blogs/akhenaton/; Квадопад; ; 19 февраля 2018; Закрытый; 1; Фигурное катание; Евгения Медведева| Анна Щербакова| Александра Трусова| Анастасия Тараканова| Алина Загитова; https://www.sports.ru/profile/1060411279/
https://www.sports.ru/tribuna/blogs/aksakal/; Настроение аксакала; ворчу; 20 ноября 2018; Открытый c премодерацией; 2; Фигурное катание; женское катание; https://www.sports.ru/profile/144544729/
https://www.sports.ru/tribuna/blogs/alekseysneg/; Этот город наш с тобою; Решил согрешить и создать блог; 12 сентября 2018; Закрытый; 8; Фигурное катание; сборная России; https://www.sports.ru/profile/1066777062/
https://www.sports.ru/tribuna/blogs/alenakostornaia/; Алена Косторная G.O.A.T; Приветствуем болельщиков фигуристки Алены Косторной!; 9 декабря 2018; Закрытый; 5; Фигурное катание; Сергей Дудаков| Даниил Глейхенгауз| Алена Косторная| Этери Тутберидзе; https://www.sports.ru/profile/1069523533/
https://www.sports.ru/tribuna/blogs/alexasukhova/; Фигурное катание. Аналитика; Цифры, прогнозы и результаты; 18 ноября 2018; Открытый c премодерацией; 1; Фигурное катание; женское катание| мужское катание| фигуристы в соцсетях; https://www.sports.ru/profile/1068870756/
https://www.sports.ru/tribuna/blogs/alexbukblog/; alexbukcoubs; Mои коубы. Аккаунт в VK: vk.com/id531302215; 22 августа 2018; Закрытый; 139; Фигурное катание; Локомотив| Алина Загитова| Филадельфия| Иван Проворов| Мики Андо| Локо| Мария Шарапова| Анна Щербакова| Александра Трусова| Камила Валиева; https://www.sports.ru/profile/140512511/
https://www.sports.ru/tribuna/blogs/alexbukcoubs2/; alexbukcoubs2; и снова здравствуйте; 24 декабря 2018; Закрытый; 1; Фигурное катание; Алина Загитова; https://www.sports.ru/profile/1070025009/
https://www.sports.ru/tribuna/blogs/alinachemp/; Алина - чемпионка!; Все о нашей великой чемпионке; 6 января 2019; Открытый; 1; Фигурное катание; Алина Загитова; https://www.sports.ru/profile/1067078558/
https://www.sports.ru/tribuna/blogs/alinazagitovamediaforfans/; Alina Zagitova Media for Fans; Alina Zagitova Media for Fans; 25 апреля 2018; Открытый; 88; Фигурное катание; Алина Загитова; https://www.sports.ru/profile/1062585455/
https://www.sports.ru/tribuna/blogs/alisiafk/; ФК. Размышления дилетанта; Скромно и субъективно о любимом виде спорта; 13 апреля 2016; Открытый c премодерацией; 1; Фигурное катание; женское катание| пары| танцы на льду| мужское катание; https://www.sports.ru/profile/1034843797/
https://www.sports.ru/tribuna/blogs/allaboutskating/; Коньки с золотыми лезвиями; О нашем любимом ФК; 11 октября 2018; Открытый c премодерацией; 1; Фигурное катание; женское катание; https://www.sports.ru/profile/1066430265/
https://www.sports.ru/tribuna/blogs/allfigureskating/; Мой взгляд на фигурное катание; Все о фигурном катании; 9 ноября 2018; Открытый; 18; Фигурное катание; пары| танцы на льду| женское катание| мужское катание; https://www.sports.ru/profile/1068250882/
https://www.sports.ru/tribuna/blogs/allyal/; Лед и Пламень; Блог Алины Ломоносовой о фигурном катании; 3 апреля 2012; Открытый c премодерацией; 7; Фигурное катание; Сочи-2014; https://www.sports.ru/profile/139458043/
https://www.sports.ru/tribuna/blogs/altfskating/; Прокаты - другой взгляд; Видео прокатов с альтернативными звуковыми дорожками; 4 мая 2016; Закрытый; 500; Фигурное катание; женское катание| танцы на льду| мужское катание| пары| сборная России| чемпионат мира| Гран-при| чемпионат России| Гран-при среди юниоров| чемпионат Европы; https://www.sports.ru/profile/1026122329/
https://www.sports.ru/tribuna/blogs/amazingrentals/; Изумительные прокаты; о фигурном катании и фигуристах; 3 февраля 2019; Открытый; 17; Фигурное катание; Евгения Медведева; https://www.sports.ru/profile/1070667573/
https://www.sports.ru/tribuna/blogs/analitiker/; Фигуры в катании; размышления, анализы; 7 июня 2018; Закрытый; 1; Фигурное катание; женское катание; https://www.sports.ru/profile/1048299924/
https://www.sports.ru/tribuna/blogs/anatolytemchenko/; Tatarka2018; Видео Новости Интервью; 11 апреля 2019; Открытый; 50; Фигурное катание; Камила Валиева| Алина Загитова| Евгения Медведева; https://www.sports.ru/profile/1070862629/
https://www.sports.ru/tribuna/blogs/anestasen/; Фигурное катание; Новости ФК; 18 июня 2018; Открытый; 7; Фигурное катание; Евгения Медведева; https://www.sports.ru/profile/1059372463/
https://www.sports.ru/tribuna/blogs/anikahanson/; Люблю фигурное катание; все о фигурном катании; 24 августа 2017; Открытый; 25; Фигурное катание; Федерация фигурного катания США; https://www.sports.ru/profile/1043800322/
https://www.sports.ru/tribuna/blogs/anna1020c/; Я смотрю, стараюсь видеть); фигурное катание глазами любителя; 18 ноября 2018; Открытый c премодерацией; 2; Фигурное катание; Гран-при; https://www.sports.ru/profile/1067459956/
https://www.sports.ru/tribuna/blogs/anna2018/; Мысли о фигурном катании; Фигурное катание женщин-одиночниц; 29 ноября 2018; Открытый; 6; Фигурное катание; Евгения Медведева; https://www.sports.ru/profile/1069167928/
https://www.sports.ru/tribuna/blogs/anothermedalsside/; Другая сторона медали; Мой субъективный взгляд на фигурное катание; 21 февраля 2016; Закрытый; 8; Фигурное катание; пары| танцы на льду; https://www.sports.ru/profile/1037372879/
https://www.sports.ru/tribuna/blogs/anotherview1/; Я тут мимо проходил; Мне тут сказали что-то написать; 26 января 2019; Открытый; 1; Фигурное катание; Алиса Лью; https://www.sports.ru/profile/1050826265/
https://www.sports.ru/tribuna/blogs/ansnow/; барсучий лед; барсука это жена барсука; 20 декабря 2018; Открытый; 2; Фигурное катание; Алина Загитова; https://www.sports.ru/profile/1069788446/
https://www.sports.ru/tribuna/blogs/antifan66/; АНТИФАН; Все о ФК и не только; 11 декабря 2018; Открытый; 3; Фигурное катание; женское катание; https://www.sports.ru/profile/1068115717/
https://www.sports.ru/tribuna/blogs/anuta_baranessa/; С любовью о ФК; Мысли добродушного болельщика; 22 декабря 2018; Открытый; 0; Фигурное катание; Евгения Медведева| Алена Косторная| Этери Тутберидзе; https://www.sports.ru/profile/1068354112/
https://www.sports.ru/tribuna/blogs/arenamorozovo/; Arena Morozovo; Новости; 5 апреля 2014; Открытый c премодерацией; 1; Фигурное катание; Илья Авербух; https://www.sports.ru/profile/159221094/
https://www.sports.ru/tribuna/blogs/asya_sneg/; Адекват о фигурном; Не хейтер, не бот. Кот Бегемот.; 3 октября 2018; Закрытый; 1; Фигурное катание; Юдзуру Ханю| Этери Тутберидзе| Евгения Медведева| Алина Загитова| Татьяна Тарасова| Брайан Орсер; https://www.sports.ru/profile/1067444401/
https://www.sports.ru/tribuna/blogs/avlerka2018/; Фигурное катание; О фигурном катании и только о нем; 24 января 2018; Закрытый; 0; Фигурное катание; Иван Букин; https://www.sports.ru/profile/1059572530/
https://www.sports.ru/tribuna/blogs/avolkov1989/; Игры, спорт и мы; Всё о нашем отношении к спорту; 9 декабря 2017; Открытый c премодерацией; 9; Фигурное катание; Евгения Медведева| психология| бизнес| Политика; https://www.sports.ru/profile/1058285818/
https://www.sports.ru/tribuna/blogs/azagitovenews/; Загитова сильнее Медведевой; Между ними был минимальный разрыв – сейчас он огромный.; 1 декабря 2018; Закрытый; 0; Фигурное катание; Евгения Медведева| Алина Загитова; https://www.sports.ru/profile/1068549655/
https://www.sports.ru/tribuna/blogs/baikiizsklepa/; моЗгоЛОмка; Я не ангел и не бес, я рифмующий балбес; 1 апреля 2019; Открытый; 9; Фигурное катание; Этери Тутберидзе| Алина Загитова; https://www.sports.ru/profile/1071337501/
https://www.sports.ru/tribuna/blogs/beautifulfk/; Красивый спорт ФК; Мирно о фигурном катании.; 4 апреля 2018; Закрытый; 1; Фигурное катание; Евгения Медведева| Дмитрий Алиев| Шома Уно| Сатоко Мияхара| Юлия Липницкая; https://www.sports.ru/profile/1061904425/
https://www.sports.ru/tribuna/blogs/beautyonice/; Искусство в коньках; Самое красивое в ФК; 24 июля 2017; Открытый c премодерацией; 1; Фигурное катание; мужское катание; https://www.sports.ru/profile/1050680533/
https://www.sports.ru/tribuna/blogs/beitrammi/; Тренер Этери; Кто будет рад ??ели тренер тутбердзе уедет ??; 7 мая 2018; Открытый; 0; Фигурное катание; Федерация фигурного катания Московской области; https://www.sports.ru/profile/1062931124/
https://www.sports.ru/tribuna/blogs/belfigureskating/; Фигурное катание в Беларуси; О белорусских фигуристах и не только; 11 июня 2011; Закрытый; 49; Фигурное катание; Сергей Давыдов; https://www.sports.ru/profile/103107583/
https://www.sports.ru/tribuna/blogs/beskonechliyled/; Безграничный лед; О фигурке с моего ракурса; 8 мая 2018; Закрытый; 6; Фигурное катание; Ice Star| Брайан Орсер| Юдзуру Ханю| Хавьер Фернандес| Алина Загитова| Этери Тутберидзе| Евгения Медведева; https://www.sports.ru/profile/1062864755/
https://www.sports.ru/tribuna/blogs/bestonsports/; Популярное в спорте; Все самое интересное о спорте; 23 мая 2018; Открытый; 76; Фигурное катание; Евгения Медведева; https://www.sports.ru/profile/1056377041/
https://www.sports.ru/tribuna/blogs/bezmnoefk/; Безумное ФК; Не Doctor of Phiosophy; 25 ноября 2018; Открытый c премодерацией; 1; Фигурное катание; Евгения Медведева; https://www.sports.ru/profile/1058883460/
https://www.sports.ru/tribuna/blogs/beznedokrutov/; Без недокрутов; Говорим о фигурном катании; 24 октября 2018; Закрытый; 26; Фигурное катание; пары| танцы на льду| женское катание| мужское катание; https://www.sports.ru/profile/1045455545/
https://www.sports.ru/tribuna/blogs/bichunia/; Скользя вперёд; Собственное видение фигурного катания; 21 февраля 2013; Открытый c премодерацией; 78; Фигурное катание; танцы на льду; https://www.sports.ru/profile/145386943/
https://www.sports.ru/tribuna/blogs/bigicetheory/; Записки переживающего; О фигурном катании от неравнодушного; 21 октября 2018; Закрытый; 4; Фигурное катание; пары| мужское катание| Этери Тутберидзе| танцы на льду| женское катание| Евгения Медведева| Алина Загитова| Михаил Коляда; https://www.sports.ru/profile/1068030701/
https://www.sports.ru/tribuna/blogs/bladerunner/; Скользящий по лезвию битвы; Блог Игоря Порошина о фигурном катании; 12 февраля 2010; Закрытый; 21; Фигурное катание; Евгений Плющенко| Юко Кавагути| Стефан Ламбьель| Александр Смирнов| Бриан Жубер| Максим Траньков| сборная России| Татьяна Волосожар; https://www.sports.ru/profile/5875318/
https://www.sports.ru/tribuna/blogs/blatnoefk/; Блатное ФК; Против несправедливостей в спорте; 19 марта 2019; Открытый; 1; Фигурное катание; сборная России; https://www.sports.ru/profile/1031628467/
https://www.sports.ru/tribuna/blogs/blog_posta/; Блог поста; Когда так не всё равно, что аж блог создаёшь; 20 октября 2018; Закрытый; 2; Фигурное катание; Пхенчхан-2018| Сочи-2014; https://www.sports.ru/profile/1067986229/
https://www.sports.ru/tribuna/blogs/bobr13/; хулиганства; тайны Лужнецкого подворья; 11 мая 2018; Закрытый; 2; Фигурное катание; Федерация фигурного катания Московской области; https://www.sports.ru/profile/1044617282/
https://www.sports.ru/tribuna/blogs/bomber/; Хроники падающего истребителя; Авиационный алюминий 7-тысячной серии хорош и для коньков.; 14 января 2019; Открытый; 4; Фигурное катание; животные и спорт| Этери Тутберидзе| спорт среди животных; https://www.sports.ru/profile/1069788446/
https://www.sports.ru/tribuna/blogs/bonair/; Как она это делает; Этери Тутберидзе; 12 октября 2018; Закрытый; 0; Фигурное катание; Этери Тутберидзе; https://www.sports.ru/profile/1067684453/
https://www.sports.ru/tribuna/blogs/bosst_channel/; Видео о Фигурке и не только; Уважаем друг друга!; 14 мая 2018; Открытый c премодерацией; 57; Фигурное катание; пары| женское катание| Александра Трусова| Евгения Медведева| Алина Загитова; https://www.sports.ru/profile/1056556868/
https://www.sports.ru/tribuna/blogs/boxetis/; Битва с великим ветераном; Завтра в Америке пройдет то, что местные любители бокса считают супербоем; 7 ноября 2014; Открытый; 0; Фигурное катание; Бокс против наркотиков; https://www.sports.ru/profile/1021061888/
https://www.sports.ru/tribuna/blogs/callnews/; Девочка играет на дудке; Убедись, что никаких новостей нет; 28 августа 2013; Закрытый; 18; Фигурное катание; танцы на льду; https://www.sports.ru/profile/152408358/
https://www.sports.ru/tribuna/blogs/cantilever/; Cantilever; Блог о фигурном катании; 31 января 2018; Открытый; 0; Фигурное катание; Евгения Медведева| Алина Загитова| Юдзуру Ханю; https://www.sports.ru/profile/1059760471/
https://www.sports.ru/tribuna/blogs/chestnoemnenieescho/; Фигуристы; Женское катание; 1 марта 2019; Открытый c премодерацией; 1; Фигурное катание; Евгения Медведева; https://www.sports.ru/profile/1071627544/
https://www.sports.ru/tribuna/blogs/ciniki/; герои не плачут и не стонут; это их не сломило; 23 февраля 2012; Открытый; 0; Фигурное катание; пары; https://www.sports.ru/profile/75053496/
https://www.sports.ru/tribuna/blogs/clearmind/; Привет, тут все здоровы?; Зомби-апокалипсис будет от идиотов.; 21 января 2019; Открытый; 1; Фигурное катание; допинг; https://www.sports.ru/profile/1070677121/
https://www.sports.ru/tribuna/blogs/coachman/; Фигурные истории; рассказы и повести о больших фигуристах; 23 января 2019; Открытый; 3; Фигурное катание; мужское катание| женское катание; https://www.sports.ru/profile/1070597890/
https://www.sports.ru/tribuna/blogs/coldblood/; Advocatus Diaboli; Блог о фигурном катании; 24 сентября 2018; Открытый c премодерацией; 7; Фигурное катание; ISU; https://www.sports.ru/profile/1067208839/
https://www.sports.ru/tribuna/blogs/coldice/; Холодный лед; Этери Тутберидзе, Евгения Медведева; 17 октября 2018; Открытый c премодерацией; 7; Фигурное катание; Этери Тутберидзе; https://www.sports.ru/profile/1067806410/
https://www.sports.ru/tribuna/blogs/correctedge/; Correct edge; Понемногу о ФК; 20 января 2016; Открытый c премодерацией; 6; Фигурное катание; женское катание| танцы на льду| мужское катание; https://www.sports.ru/profile/1031074738/
https://www.sports.ru/tribuna/blogs/cricketsquad/; Команда крикета; фигурное катание в текущий момент; 18 января 2019; Открытый; 6; Фигурное катание; сборная России| женское катание; https://www.sports.ru/profile/1070667573/
https://www.sports.ru/tribuna/blogs/crutoy/; Фигурные виражи; То что затронуло в фигурном катании; 31 декабря 2018; Закрытый; 6; Фигурное катание; Елизавета Туктамышева| Татьяна Тарасова| Рика Кихира| Алексей Мишин| Евгения Медведева| Этери Тутберидзе| Брайан Орсер| Алина Загитова; https://www.sports.ru/profile/1068843592/
https://www.sports.ru/tribuna/blogs/cuttingedge/; Режущий край; Взгляд ледового любителя; 24 декабря 2014; Закрытый; 8; Фигурное катание; чемпионат мира; https://www.sports.ru/profile/158033994/
https://www.sports.ru/tribuna/blogs/damnnn/; ФК и не только!; Осторожно! Тут много Загитовой!; 27 января 2019; Закрытый; 10; Фигурное катание; Алина Загитова| Этери Тутберидзе| Даниил Глейхенгауз; https://www.sports.ru/profile/1064852169/
https://www.sports.ru/tribuna/blogs/danache/; О спорте эмоционально; Мыслю вслух, пишу в стол; 27 ноября 2018; Закрытый; 3; Фигурное катание; Алина Загитова| Елизавета Туктамышева| Алексей Мишин| Евгения Медведева| Татьяна Тарасова| Станислава Константинова; https://www.sports.ru/profile/1052003786/
https://www.sports.ru/tribuna/blogs/danasdybr/; Неформат; не о теннисе; 5 января 2010; Закрытый; 25; Фигурное катание; Мохаммед Али; https://www.sports.ru/profile/3090008/
https://www.sports.ru/tribuna/blogs/dancesport/; Танцевальный спорт; Для интересующихся, о бальных/спортивных танцах; 21 сентября 2009; Закрытый; 4; Фигурное катание; спортивные танцы; https://www.sports.ru/profile/33770265/
https://www.sports.ru/tribuna/blogs/dariamorozenko/; ФК в мире; ФК в мире; 15 марта 2019; Открытый c премодерацией; 1; Фигурное катание; чемпионат Европы| ISU| сборная России| чемпионат мира| ФФКР| женское катание; https://www.sports.ru/profile/1071449879/
https://www.sports.ru/tribuna/blogs/darling/; Три гроша; Записки истинного дилетанта; 4 января 2015; Закрытый; 45; Фигурное катание; Брайан Орсер| Курт Браунинг; https://www.sports.ru/profile/146724523/
